feature,importance
identity_matching,242618.46517944336
monthly_income_stability,101010.91315078735
employment_history_score,16968.480659484863
bill_payment_ontime_ratio,14740.628648757935
spending_discipline_index,13605.151304244995
bill_payment_discipline,11008.404846191406
income_cv,7855.969449996948
synthetic_id_risk,6923.745018005371
bank_statement_manipulation,6794.786659240723
impulse_purchase_ratio,4987.367786407471
utility_payment_ontime_ratio,3707.1724014282227
emi_to_income_ratio,3635.5951232910156
employment_tenure_months,3502.897678375244
survivability_months,3357.9253063201904
inflow_consistency_cv,3338.893714904785
liquid_assets,3284.135419845581
transaction_pattern_anomaly,3181.70548248291
total_financial_assets,3163.986005783081
late_night_transaction_ratio,3082.753128051758
income_source_verification,3059.8764877319336
monthly_income,2684.1931915283203
monthly_outflow_burden,2114.6448822021484
budget_adherence,2102.5571098327637
inflow_time_consistency,2095.8124923706055
avg_account_balance,1877.1749153137207
digital_footprint_age_days,1699.4977989196777
investments,1594.275104522705
monthly_upi_amount,1416.6272106170654
income_trend,1396.8905067443848
monthly_utility,1262.6667022705078
emi_to_monthly_upi_amount,1211.5977020263672
email_tenure_months,938.0836124420166
total_emi,860.9405040740967
total_monthly_outflow,743.7790985107422
account_balance_trend,672.4871063232422
insurance_coverage,668.8585929870605
expense_rigidity,665.7039985656738
income_retention_ratio,662.3034057617188
p2p_upi_transaction_count,594.617603302002
utility_payment_consistency,592.232292175293
insurance_payment_ontime_ratio,570.7111892700195
phone_number_tenure_months,557.4202117919922
late_night_payment_behaviour,515.6856956481934
spending_personality,497.9883041381836
rent_to_income_ratio,464.4197998046875
device_fingerprint_changes,450.43270111083984
age,442.0710029602051
pin_code_risk_score,430.1454963684082
utility_to_income_ratio,385.0216941833496
cross_platform_consistency,370.1687927246094
spending_personality_score,339.7173042297363
monthly_rent,291.80820083618164
bill_payment_delays_count,258.8199005126953
location_type,240.60709762573242
p2p_upi_regularity_score,194.16500091552734
employment_type,179.47879791259766
education_level,128.39720153808594
insurance_payment_discipline,126.85100173950195
education_score,56.279598236083984
employment_changes_last_5yr,39.819400787353516
regular_p2p_upi_transactions,33.260398864746094
phone_number_verified,0.0
statement_tampering_detected,0.0
income_source_type,0.0
risk_appetite_score,0.0
risk_appetite,0.0
email_verified,0.0
insurance_count,0.0
has_insurance,0.0
income_source_verified,0.0
name_dob_verified,0.0
